TRDAR_CD,TRDAR_CD_NM,ADSTRD_CD,ADSTRD_CD_NM,SIGNGU_CD,SIGNGU_CD_NM
12170,이문로30길_A,11230740,이문1동,11230,동대문구
12171,이문로30길_B,11230740,이문1동,11230,동대문구
12172,종암로19길,11290705,종암동,11290,성북구
12174,휘경로_A,11230740,이문1동,11230,동대문구
12175,망우로_B,11260580,상봉1동,11260,중랑구
12176,망우로_C,11260655,망우본동,11260,중랑구
12178,망우로62길,11260655,망우본동,11260,중랑구
12179,아리랑로_A,11290575,동선동,11290,성북구
12181,중랑역로_F,11260610,중화2동,11260,중랑구
12182,망우로_D,11260590,상봉2동,11260,중랑구
12184,은평로9길,11380580,응암1동,11380,은평구
12185,망우로_E,11260680,신내1동,11260,중랑구
12186,종암로_B,11290705,종암동,11290,성북구
12187,은평로_B,11380580,응암1동,11380,은평구
12188,은평로_C,11380631,신사1동,11380,은평구
12189,종암로_C,11290705,종암동,11290,성북구
12190,연서로_D,11380625,역촌동,11380,은평구
12192,동일로_R,11260600,중화1동,11260,중랑구
12193,동일로_S,11260600,중화1동,11260,중랑구
12194,동일로_T,11260600,중화1동,11260,중랑구
12195,동일로_U,11260610,중화2동,11260,중랑구
12197,중랑역로_G,11260610,중화2동,11260,중랑구
12198,은평로_D,11380580,응암1동,11380,은평구
12199,갈현로_D,11380631,신사1동,11380,은평구
12200,동일로_V,11260610,중화2동,11260,중랑구
12201,종암로_D,11290705,종암동,11290,성북구
12202,은평로_E,11380580,응암1동,11380,은평구
12203,망우로_F,11260655,망우본동,11260,중랑구
12204,은평로11길,11380580,응암1동,11380,은평구
12205,갈현로_E,11380631,신사1동,11380,은평구
12206,홍은중앙로,11410640,홍제3동,11410,서대문구
12207,삼선교로_A,11290555,삼선동,11290,성북구
12208,동소문로_C,11290555,삼선동,11290,성북구
12210,용마산로_A,11260575,면목3.8동,11260,중랑구
12211,증산로15길,11380640,증산동,11380,은평구
12212,보문로_A,11290555,삼선동,11290,성북구
12214,회기로_A,11230720,휘경1동,11230,동대문구
12215,통일로_E,11410620,홍제1동,11410,서대문구
12216,면목로_A,11260565,면목본동,11260,중랑구
12217,면목로_B,11260565,면목본동,11260,중랑구
12218,동소문로_D,11290555,삼선동,11290,성북구
12219,회기로_B,11230720,휘경1동,11230,동대문구
12222,보문로_B,11290555,삼선동,11290,성북구
12223,보문로_C,11290555,삼선동,11290,성북구
12224,봉우재로14길,11260520,면목2동,11260,중랑구
12225,통일로_F,11410640,홍제3동,11410,서대문구
12226,안암로_A,11230545,제기동,11230,동대문구
12227,상봉로11길,11260565,면목본동,11260,중랑구
12228,보문로30길,11290575,동선동,11290,성북구
12229,응암로13길_A,11380600,응암3동,11380,은평구
12230,동소문로6길,11290555,삼선동,11290,성북구
12231,응암로_A,11380600,응암3동,11380,은평구
12232,보문로_D,11290610,보문동,11290,성북구
12233,가좌로,11380600,응암3동,11380,은평구
12234,동소문로_E,11290555,삼선동,11290,성북구
12235,삼선교로_B,11290555,삼선동,11290,성북구
12236,동소문로_F,11290555,삼선동,11290,성북구
12237,응암로4길,11380600,응암3동,11380,은평구
12238,성북로,11290525,성북동,11290,성북구
12239,회기로_C,11230710,회기동,11230,동대문구
12240,면목로74길,11260565,면목본동,11260,중랑구
12241,안암로_B,11230545,제기동,11230,동대문구
12242,겸재로_A,11260565,면목본동,11260,중랑구
12243,회기로_D,11230710,회기동,11230,동대문구
12244,응암로14길,11380600,응암3동,11380,은평구
12246,겸재로_B,11260565,면목본동,11260,중랑구
12247,용마산로_B,11260575,면목3.8동,11260,중랑구
12248,망우로21길,11230720,휘경1동,11230,동대문구
12250,망우로_G,11260590,상봉2동,11260,중랑구
12251,면목로_C,11260590,상봉2동,11260,중랑구
12253,인왕시장길_A,11410640,홍제3동,11410,서대문구
12254,망우로_H,11260590,상봉2동,11260,중랑구
12255,동소문로_G,11290575,동선동,11290,성북구
12256,용마산로_C,11260660,망우3동,11260,중랑구
12257,망우로30길,11260520,면목2동,11260,중랑구
12258,동소문로_H,11290575,동선동,11290,성북구
12259,통일로_G,11410620,홍제1동,11410,서대문구
12260,회기로_E,11230710,회기동,11230,동대문구
12262,동일로_W,11260590,상봉2동,11260,중랑구
12263,인왕시장길_B,11410640,홍제3동,11410,서대문구
12264,이문로,11230740,이문1동,11230,동대문구
12265,망우로_I,11260610,중화2동,11260,중랑구
12267,용마공원로,11260655,망우본동,11260,중랑구
12268,아리랑로_B,11290575,동선동,11290,성북구
12269,아리랑로_C,11290575,동선동,11290,성북구
12270,동소문로28길,11290575,동선동,11290,성북구
12271,동소문로_I,11290555,삼선동,11290,성북구
12272,봉우재로33길_A,11260590,상봉2동,11260,중랑구
12273,망우로32길,11260520,면목2동,11260,중랑구
12274,휘경로_B,11230740,이문1동,11230,동대문구
12275,봉우재로43길,11260590,상봉2동,11260,중랑구
12276,봉우재로33길_B,11260590,상봉2동,11260,중랑구
12277,세검정로1길,11410660,홍은1동,11410,서대문구
12278,면목로_D,11260575,면목3.8동,11260,중랑구
12279,명지대길,11410685,홍은2동,11410,서대문구
12281,응암로_B,11410720,북가좌2동,11410,서대문구
12282,거북골로_A,11410685,홍은2동,11410,서대문구
12283,면목로_E,11260575,면목3.8동,11260,중랑구
12285,자하문로_A,11110515,청운효자동,11110,종로구
12286,창덕궁1길,11110600,가회동,11110,종로구
12287,율곡로3길,11110540,삼청동,11110,종로구
12288,안암로_C,11290600,안암동,11290,성북구
12290,북촌로5가길,11110540,삼청동,11110,종로구
12291,사가정로_A,11260575,면목3.8동,11260,중랑구
12292,자하문로9길,11110530,사직동,11110,종로구
12293,면목로_F,11260575,면목3.8동,11260,중랑구
12294,면목로_G,11260570,면목7동,11260,중랑구
12295,왕산로33길,11230545,제기동,11230,동대문구
12296,약령중앙로_A,11230545,제기동,11230,동대문구
12297,금낭화로_A,11500641,방화3동,11500,강서구
12298,사가정로_B,11260575,면목3.8동,11260,중랑구
12299,계동길,11110600,가회동,11110,종로구
12300,면목로_H,11260565,면목본동,11260,중랑구
12301,응암로_C,11410720,북가좌2동,11410,서대문구
12302,홍릉로,11230545,제기동,11230,동대문구
12303,금낭화로_B,11500641,방화3동,11500,강서구
12304,응암로_D,11410720,북가좌2동,11410,서대문구
12305,응암로_E,11410720,북가좌2동,11410,서대문구
12306,홍릉로5길,11230545,제기동,11230,동대문구
12307,거북골로_B,11410685,홍은2동,11410,서대문구
12308,고산자로_A,11230545,제기동,11230,동대문구
12309,약령중앙로_B,11230545,제기동,11230,동대문구
12310,면목로_I,11260570,면목7동,11260,중랑구
12311,자하문로_B,11110515,청운효자동,11110,종로구
12312,사가정로_C,11260570,면목7동,11260,중랑구
12313,면목로55길,11260575,면목3.8동,11260,중랑구
12314,삼청로,11110540,삼청동,11110,종로구
12315,보문로_E,11290610,보문동,11290,성북구
12316,면목로_J,11260565,면목본동,11260,중랑구
12318,왕산로_A,11230705,청량리동,11230,동대문구
12319,수색로_A,11380650,수색동,11380,은평구
12320,개운사길_A,11290600,안암동,11290,성북구
12321,통일로_H,11410620,홍제1동,11410,서대문구
12322,성균관로,11110650,혜화동,11110,종로구
12323,통일로_I,11410655,홍제2동,11410,서대문구
12324,인촌로24길,11290600,안암동,11290,성북구
12325,안암로_D,11290600,안암동,11290,성북구
12328,종로_A,11110700,숭인1동,11110,종로구
12329,수색로4가길,11410690,남가좌1동,11410,서대문구
12330,종로_B,11110710,숭인2동,11110,종로구
12331,방화동로_A,11500640,방화2동,11500,강서구
12332,금낭화로_C,11500640,방화2동,11500,강서구
12333,무학로_A,11230536,용신동,11230,동대문구
12334,양천로_A,11500640,방화2동,11500,강서구
12335,강서로_A,11500603,가양1동,11500,강서구
12336,종로51길,11110670,창신1동,11110,종로구
12337,통일로_J,11410520,천연동,11410,서대문구
12338,영천시장길,11410520,천연동,11410,서대문구
12339,사직로8길,11110530,사직동,11110,종로구
12340,월드컵북로_A,11440730,성산2동,11440,마포구
12341,장한로_A,11230660,장안2동,11230,동대문구
12342,답십리로_A,11230660,장안2동,11230,동대문구
12343,창신길,11110680,창신2동,11110,종로구
12345,서울시립대로,11230560,전농1동,11230,동대문구
12346,수색로2길,11410690,남가좌1동,11410,서대문구
12347,마장로37길,11200540,마장동,11200,성동구
12348,하정로,11230536,용신동,11230,동대문구
